Vehicle,Fuel_Type_main,Total_Propellant_Mass_kg_main,Mixing_ratio_Al_if_Solid_main,Fuel_Type_booster,Total_Propellant_Mass_kg_booster,Mixing_ratio_Al_if_Solid_booster,Stratospheric_CO2_tons,Stratospheric_H2O_tons,Stratospheric_Black_Carbon_tons,Stratospheric_NOx_tons,Stratospheric_nClx_tons,Stratospheric_Alumina_tons,max_altitude_km,total_fuel_mass,pollution
Angara A5,0,132600,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,200,700000,223.31
Antares 230,0,242000,2,0,0,0,82.02,33.57,0.47,0.07,0,0,200,240000,82.56
Antares 230+,0,242000,2,0,0,0,82.02,33.57,0.47,0.07,0,0,180,240000,82.56
Ariane 5 ECA,1,170000,6,2,476000,0,112.59,137.02,2.56,0.77,54.08,87.17,200,775000,257.17
Atlas V 401,0,284089,2,0,0,0,99.84,40.87,0.59,0.08,0,0,204,290000,100.51
Atlas V 411,0,284089,2,2,42630,0,107.76,47.87,0.77,0.13,3.8,6.13,204.9,306000,118.59
Atlas V 421,0,284089,2,2,85260,0,115.68,54.88,0.95,0.19,7.61,12.26,204.9,327000,136.69
Atlas V 431,0,284089,2,2,127890,0,123.61,61.89,1.13,0.24,11.41,18.4,204.9,345000,154.79
Atlas V 501,0,284089,2,0,0,0,99.84,40.87,0.59,0.08,0,0,204.9,377000,100.51
Atlas V 521,0,284089,2,2,85260,0,115.68,54.88,0.95,0.19,7.61,12.26,204.9,419000,136.69
Atlas V 531,0,284089,2,2,127890,0,123.61,61.89,1.13,0.24,11.41,18.4,204.9,461000,154.79
Atlas V 541,0,284089,2,2,170520,0,131.53,68.9,1.31,0.29,15.22,24.53,204.9,515000,172.88
Atlas V 551,0,284089,2,2,213150,0,139.45,75.9,1.49,0.34,19.02,30.67,204.9,549000,190.97
Atlas V N22,0,284089,2,2,85260,0,115.68,54.88,0.95,0.19,7.61,12.26,110,333000,136.69
"Delta IV M+ (4,2)",1,200400,5,2,59400,0,13.04,71.49,0.29,0.17,6.26,10.1,8600,308000,29.86
"Delta IV M+ (5,4)",1,200400,5,2,118800,0,34.79,83.67,0.79,0.3,16.71,26.93,8600,413000,79.52
Delta IV Heavy,1,200400,5,1,400800,5,0,239.28,0,0.37,0,0,1400,807000,0.37
Electron,0,9250,2,0,0,0,3.95,1.62,0.02,0.003,0,0,500,2680,3.973
Epsilon,2,65000,0,0,0,0,14.07,12.44,0.32,0.08,6.76,10.89,1000,91000,32.12
Falcon 9,0,411000,2,0,0,0,210.42,86.14,1.1,0.18,0,0,400,395700,211.7
Falcon Heavy,0,411000,2,0,822000,2,607.89,248.84,3.19,0.54,0,0,1000,1070000,611.62
GSLV Mk II,2,138200,0,3,170800,1,42.94,45.23,0.3,1.17,2.31,3.73,180,417000,50.45
GSLV Mk III,3,116000,1,2,410000,0,93.57,83.43,2.06,0.67,43.25,69.72,170,610000,209.27
H-IIA 202,1,101100,5,2,65000,0,19.98,36.77,0.45,0.15,9.6,15.47,600,435000,45.65
H-IIA 204,1,101100,5,2,65000,0,19.98,36.77,0.45,0.15,9.6,15.47,600,435000,45.65
H-IIB,1,177800,5,2,65000,0,19.98,62.45,0.45,0.19,9.6,15.47,400,526000,45.69
Kuaizhou 1A,2,15000,0,0,0,0,2.88,2.54,0.06,0.01,1.38,2.23,500,30000,6.56
Kuaizhou 11,2,70000,0,0,0,0,13.45,11.89,0.3,0.08,6.46,10.41,700,44000,30.7
Long March 11,2,35000,0,2,20000,0,14.49,12.82,0.33,0.09,6.96,11.22,700,57000,33.09
Long March 2C,3,162706,2,0,0,0,49.05,40.16,0.22,1.1,0,0,200,183000,50.37
Long March 2D,3,182000,2,0,0,0,54.87,44.92,0.25,1.23,0,0,500,178000,56.35
Long March 2F,3,187000,2,3,151200,2,82.48,67.53,0.38,1.85,0,0,200,192500,84.71
Long March 3A,3,171800,2,0,0,0,47.96,39.26,0.22,1.08,0,0,400,192000,49.26
Long March 3B,3,171800,2,3,150800,2,78.57,64.33,0.36,1.77,0,0,600,482500,80.7
Long March 3C,3,171800,2,3,75400,2,63.22,51.76,0.29,1.42,0,0,300,183000,64.93
